眘	愼
眙	瞪
眞	真
真	眞
眾	衆
睿	叡
瞪	眙
瞭	了
矇	蒙
矈	矏
矏	矈
矢	笶
矩	榘
研	硎
砕	碎
砧	碪
砲	炮
砿	礦
硎	研
硚	礄
硫	硫
硬	峺
硵	磠
硷	鹼
碌	碌
碎	砕
碕	崎
碥	扁
碪	砧
碯	瑙
磆	滑
磊	磊
磻	磻
礄	硚
礆	險
礡	礴
礪	礪
礮	炮
礴	礡
礼	礼
祕	秘
祗	只
祘	算
神	神
祥	祥
祿	祿
福	福
禥	祺
禮	禮
私	厶
秊	秊
秏	耗
秐	耘
稀	希
稚	穉
稜	稜
稟	廪
稲	稻
稻	稲
稽	乩
稿	稾
穂	穗
穅	糠
穉	稚
穐	秋
穗	穂
穞	穭
穣	穰
穭	穞
穰	穣
穽	阱
窗	窓
窯	窰
窰	窯
竃	灶
立	立
竒	奇
竖	豎
竜	龍
竝	並
竢	俟
竪	豎
競	竸
竸	競
竾	篪
笆	巴
笑	咲
笠	笠
笻	筇
筇	笻
等	朩
筋	觔
筐	筺
答	荅
策	筞
筞	策
筱	篠
签	籤
筿	篠
箇	個
箋	牋
算	祘
箚	剳
箝	钳
箬	篛
箳	簈
節	罇
篛	箬
篠	筿
篡	簒
篪	竾
篭	籠
篯	籛
篲	彗
簈	箳
簑	蓑
簔	簑
簘	簫
簾	簾
籐	籘
籔	藪
籖	籤
籘	籐
籠	籠
籤	籖
粋	粹
粒	粒
粗	麄
粛	肅
粥	鬻
粫	糯
粹	粋
粽	糭
精	精
糊	胡
糖	糖
糠	穅
糤	馓
糭	糉
糯	粫
糸	絲
糺	糾
系	繫
糾	糺
紐	紐
索	索
紥	紮
紬	綢
紮	扎
絃	弦
絋	纊
経	經
絏	紲
絖	纊
絝	褲
絲	纟
絵	繪
絶	絕
綉	繡
綑	捆
經	経
継	繼
続	續
綠	綠
綳	繃
総	總
緑	綠
緒	緖
緖	緒
緣	縁
緼	縕
縁	緣
縂	總
縄	繩
縦	縱
縴	纤
總	総
繁	緐
繃	綳
繈	繦
繊	纖
繋	繫
繍	繡
繙	翻
繡	繍
繢	繪
繦	繈
繩	縄
繪	缋
繫	繋
繿	襤
纇	颣
纉	纘
纊	絋
纎	纖
