燄	焰
燈	灯
燐	㷠
燒	簫
燭	烛
燺	熇
燻	熏
燿	曜
爐	炉
爪	㕚
爫	㕚
爭	争
爲	為
爾	尒
爿	𤕪
牀	床
牄	蹌
牆	墻
版	板
牋	箋
牕	窻
牛	牜
牜	牛
牟	麰
牠	他
牴	觝
犁	犂
犂	犁
犇	奔
犬	犭
犭	犬
犲	豺
犴	豻
犹	猶
狥	侚
独	獨
狵	尨
狷	獧
狸	貍
狹	陜
狻	䝜
猇	唬
猋	飇
猗	欹
猨	蝯
猪	豬
猫	貓
猬	蝟
献	獻
猶	犹
猿	猨
獃	呆
獐	麞
獠	䝤
獧	狷
獨	独
獫	玁
獵	𤢪
獻	献
獾	貛
玁	獫
玄	伭
玅	妙
玆	兹
玖	九
玟	玫
玫	玟
玳	瑇
珉	䃉
珍	珎
珎	珍
珪	圭
珷	碔
琄	鞙
琅	瑯
琉	瑠
瑇	玳
瑙	碯
瑠	琉
瑯	琅
璁	𤧚
璃	瓈
璇	璿
璢	琉
璽	壐
璿	璇
瓈	璃
瓟	匏
瓮	罋
瓶	缾
瓷	磁
甎	磚
甕	瓮
甖	罌
甞	嘗
甤	蕤
甦	穌
甬	埇
甯	寗
町	圢
画	畫
甽	畎
甾	菑
甿	氓
畄	留
畆	畝
畊	耕
畎	甽
留	畄
畝	畆
略	畧
畧	略
畫	画
畱	畄
畵	畫
畺	疆
畽	疃
疃	畽
疆	畺
疊	叠
疋	匹
疍	蛋
疎	疏
疏	疎
疣	肬
疱	皰
疴	痾
疸	癉
疹	胗
痐	蚘
痒	癢
痮	脹
痴	癡
痹	痺
痺	痹
痼	㽽
痾	疴
瘂	啞
瘉	癒
瘨	癲
瘶	嗽
瘺	瘻
瘻	瘺
癉	疸
癒	瘉
癡	痴
癢	痒
癯	臞
癲	瘨
登	豋
百	佰
皁	皂
皂	皁
皃	貎
皋	臯
皎	㿟
皓	顥
皜	暠
皝	皓
皞	皡
皡	皞
皥	皞
皦	㿟
皰	疱
皷	鼔
皺	縐
盃	杯
盇	盍
益	益
盌	椀
盍	盇
盖	蓋
盗	盜
盙	簠
盜	盗
盡	尽
盩	盭
盪	蕩
盭	盩
眇	緲
眈	躭
眎	視
眞	真
真	眞
眥	眦
眦	眥
眾	衆
着	著
睏	困
睫	䀹
睹	覩
睾	皋
睿	叡
瞅	矁
瞍	𥈟
瞠	瞪
瞥	苤
瞪	瞠
瞬	䀢
瞯	瞷
瞰	矙
瞷	瞯
瞹	曖
瞿	䀠
矁	瞅
矋	矖
矖	矋
矙	瞰
矧	訠
矮	躷
石	𥐘
砅	濿
砇	珉
砌	纖
砒	磇
研	揅
砠	岨
砣	𥓿
砥	厎
砦	寨
砧	碪
砲	炮
硜	䃘
硤	唊
硭	𥐞
碁	棊
碍	㝵
碔	珷
碗	椀
碪	砧
碯	瑙
碰	掽
碱	鹼
磁	瓷
磇	砒
磊	磥
磌	𧰊
磒	隕
磚	甎
磛	嶃
磡	墈
磥	磊
磪	崔
磴	嶝
磵	澗
磽	墝
礙	㝵
礟	礮
礦	鑛
礮	炮
礱	𤮨
礶	罐
示	礻
礻	示
礼	礼
礿	禴
祐	佑
祕	秘
禀	稟
禂	禱
禮	礼
禱	禂
禴	礿
禿	秃
秃	禿
秄	耔
秆	稈
秇	埶
秈	籼
秋	䆋
秌	秋
秏	耗
秐	耘
秔	粳
秕	粃
秘	祕
秸	稭
移	迻
稈	秆
稉	秔
稊	䄺
稘	朞
稚	䕌
稜	棱
稟	禀
稬	糯
稭	秸
稱	偁
稺	稚
稾	稿
稿	槀
穀	糓
穅	糠
穉	稚
穌	甦
穎	頴
穤	糯
穩	㒚
穪	偁
穫	檴
穽	阱
窃	竊
窌	窖
窓	䆫
窖	窌
窗	䆫
窮	竆
窯	窰
窰	窯
窴	塡
窶	寠
窻	牕
竆	窮
竈	灶
竉	䆔
竊	窃
竒	奇
竚	佇
竝	並
竢	俟
竪	豎
競	誩
竻	簕
竿	𣔼
笋	筍
笑	咲
笓	篦
笔	筆
笛	篴
笨	㤒
筆	笔
筍	笋
筏	栰
答	荅
筦	管
筭	算
筯	箸
筱	篠
箇	个
箋	牋
箍	箛
